xm,ym
1,4311.78
2,1096.07
3,332.87
4,44.86
5,202.16
6,71.53
7,87.37
8,54.66
9,304.53
10,142.38
11,177.8
12,249.01
13,152.96
14,286.7
15,273.8
16,369.81
