xm,ym
1,438.22
2,321.03
3,239.41
4,274.55
5,429.87
6,632.18
7,475.65
8,578.76
9,370.29
10,283.23
11,861.41
12,1027.56
13,338.36
14,176.51
15,460.27
16,558.5
17,131.6
18,238.21
19,243.4
20,15.59
21,450.04
22,508.85
23,206.23
24,107.5
25,54.38
26,264.31
27,24.4
28,331.22
29,177.98
30,159.7
31,97.47
32,232.85
33,67.33
34,657.06
35,403.84
36,419.89
37,128.15
